Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
pysimplegui;                        4.45.0;             pypi_0;                 pypi;       GNU Lesser General Public License v3 or later (LGPLv3+);                    2021-07-26
python;                             3.9.5;              h6244533_3;             defaults;   PSF;                                                                        2021-07-26
python-can;                         4.0.0.dev2;         pypi_0;                 pypi;       GNU Lesser General Public License v3 (LGPLv3);                              2021-07-26
python-datauri;                     0.2.9;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
python-dateutil;                    2.8.2;              pypi_0;                 pypi;       Apache Software License, BSD License;                                       2021-07-26
python-lin;                         0.1.1;              pypi_0;                 pypi;       MIT;                                                                        2021-07-26
python-markdown-math;               0.6;                pypi_0;                 pypi;       BSD;                                                                        2021-07-26
python-uds;                         1.0.2;              pypi_0;                 pypi;       MIT;                                                                        2021-07-26
pytz;                               2021.1;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyvisa;                             1.11.3;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pywin32;                            228;                py39he774522_0;         defaults;   Python Software Foundation License;                                         2021-07-26
pywinpty;                           1.1.3;              pypi_0;                 pypi;       MIT;                                                                        2021-07-26
pyyaml;                             5.4.1;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyzmq;                              22.1.0;             pypi_0;                 pypi;       BSD License, GNU Library or Lesser General Public License (LGPL);           2021-07-26
qt;                                 5.9.7;              vc14h73c81de_0;         defaults;   LGPL-3.0;                                                                   2021-07-26
qtconsole;                          5.1.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
qtpy;                               1.9.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
regex;                              2021.7.6;           pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
requests;                           2.26.0;             pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
requests-file;                      1.5.1;              pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
rope;                               0.19.0;             pypi_0;                 pypi;       GNU Lesser General Public License v3 or later (LGPLv3+);                    2021-07-26
rsinstrument;                       1.15.0.68;          pypi_0;                 pypi;       MIT License;                                                                2021-07-26
ruamel-yaml;                        0.17.10;            pypi_0;                 pypi;       MIT License;                                                                2021-07-26
ruamel-yaml-clib;                   0.2.6;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
scikit-learn;                       0.24.2;             pypi_0;                 pypi;       new BSD;                                                                    2021-07-26
scipy;                              1.7.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
seaborn;                            0.11.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
send2trash;                         1.7.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
setuptools;                         52.0.0;             py39haa95532_0;         defaults;   MIT;                                                                        2021-07-26
sip;                                4.19.13;            py39hd77b12b_0;         defaults;   GPL-3.0;                                                                    2021-07-26
six;                                1.16.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
smmap;                              4.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
snowballstemmer;                    2.1.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
soupsieve;                          2.2.1;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinx;                             4.1.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinx-copybutton;                  0.3.3;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinx-plotly-directive;            0.1.3;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinx-rtd-theme;                   0.5.2;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinxcontrib-applehelp;            1.0.2;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-bibtex;               2.3.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
