Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
pandoc;                             2.12;               h06a4308_0;             defaults;   GPL-2.0;                                                                    2021-07-26
pandocfilters;                      1.4.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
parso;                              0.8.2;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
partd;                              1.2.0;              pypi_0;                 pypi;       BSD;                                                                        2021-07-26
pathspec;                           0.9.0;              pypi_0;                 pypi;       Mozilla Public License 2.0 (MPL 2.0);                                       2021-07-26
patsy;                              0.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pcre;                               8.45;               h295c915_0;             defaults;   BSD-3-Clause;                                                               2021-07-26
pexpect;                            4.8.0;              pypi_0;                 pypi;       ISC License (ISCL);                                                         2021-07-26
pickleshare;                        0.7.5;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pillow;                             8.3.1;              pypi_0;                 pypi;       Historical Permission Notice and Disclaimer (HPND);                         2021-07-26
pip;                                21.1.3;             py39h06a4308_0;         defaults;   MIT;                                                                        2021-07-26
pip-licenses;                       3.5.1;              pypi_0;                 pypi;       MIT License (MIT License);                                                  2021-07-26
plantuml;                           0.3.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
plantuml-markdown;                  3.4.2;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
plotly;                             5.1.0;              pypi_0;                 pypi;       MIT;                                                                        2021-07-26
prometheus-client;                  0.11.0;             pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
prompt-toolkit;                     3.0.19;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
psutil;                             5.8.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
ptable;                             0.9.2;              pypi_0;                 pypi;       BSD License (BSD (3 clause));                                               2021-07-26
ptyprocess;                         0.7.0;              pypi_0;                 pypi;       ISC License (ISCL);                                                         2021-07-26
pybtex;                             0.24.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pybtex-docutils;                    1.0.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pycparser;                          2.20;               pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pyenchant;                          3.2.1;              pypi_0;                 pypi;       GNU Library or Lesser General Public License (LGPL);                        2021-07-26
pygments;                           2.9.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pylint;                             2.9.5;              pypi_0;                 pypi;       GNU General Public License v2 (GPLv2);                                      2021-07-26
pyparsing;                          2.4.7;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyrsistent;                         0.18.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyserial;                           3.5;                pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pysimplegui;                        4.45.0;             pypi_0;                 pypi;       GNU Lesser General Public License v3 or later (LGPLv3+);                    2021-07-26
python;                             3.9.5;              h12debd9_4;             defaults;   PSF;                                                                        2021-07-26
python-can;                         4.0.0.dev2;         pypi_0;                 pypi;       GNU Lesser General Public License v3 (LGPLv3);                              2021-07-26
python-datauri;                     0.2.9;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
python-dateutil;                    2.8.2;              pypi_0;                 pypi;       Apache Software License, BSD License;                                       2021-07-26
python-lin;                         0.1.1;              pypi_0;                 pypi;       MIT;                                                                        2021-07-26
python-markdown-math;               0.6;                pypi_0;                 pypi;       BSD;                                                                        2021-07-26
python-uds;                         1.0.2;              pypi_0;                 pypi;       MIT;                                                                        2021-07-26
pytz;                               2021.1;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyvisa;                             1.11.3;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyyaml;                             5.4.1;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyzmq;                              22.1.0;             pypi_0;                 pypi;       BSD License, GNU Library or Lesser General Public License (LGPL);           2021-07-26
qt;                                 5.9.7;              h5867ecd_1;             defaults;   LGPL-3.0;                                                                   2021-07-26
qtconsole;                          5.1.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
qtpy;                               1.9.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
readline;                           8.1;                h27cfd23_0;             defaults;   GPL-3.0;                                                                    2021-07-26
regex;                              2021.7.6;           pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
requests;                           2.26.0;             pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
requests-file;                      1.5.1;              pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
rope;                               0.19.0;             pypi_0;                 pypi;       GNU Lesser General Public License v3 or later (LGPLv3+);                    2021-07-26
rsinstrument;                       1.15.0.68;          pypi_0;                 pypi;       MIT License;                                                                2021-07-26
ruamel-yaml;                        0.17.10;            pypi_0;                 pypi;       MIT License;                                                                2021-07-26
ruamel-yaml-clib;                   0.2.6;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
scikit-learn;                       0.24.2;             pypi_0;                 pypi;       new BSD;                                                                    2021-07-26
